CMDLINE C:\Users\Firefly\GPU_Project\Anaconda\envs\rltest\python.exe gpu_RL.py
MEM 1450.707031 1623599060.4467
MEM 1450.707031 1623599060.5587
MEM 1387.242188 1623599060.6703
MEM 1464.562500 1623599060.7823
MEM 1443.296875 1623599060.8943
MEM 1443.500000 1623599061.0043
MEM 1445.527344 1623599061.1163
MEM 1445.527344 1623599061.2283
MEM 1445.527344 1623599061.3403
MEM 1445.527344 1623599061.4523
MEM 1445.527344 1623599061.5643
MEM 1445.527344 1623599061.6763
MEM 1445.527344 1623599061.7883
MEM 1445.527344 1623599061.8983
MEM 1445.527344 1623599062.0103
MEM 1445.527344 1623599062.1223
MEM 1445.527344 1623599062.2343
MEM 1445.527344 1623599062.3463
MEM 1445.527344 1623599062.4583
MEM 1445.527344 1623599062.5704
MEM 1445.527344 1623599062.6824
MEM 1445.527344 1623599062.7944
MEM 1445.527344 1623599062.9064
MEM 1445.527344 1623599063.0184
MEM 1445.527344 1623599063.1304
MEM 1445.527344 1623599063.2424
MEM 1445.527344 1623599063.3544
MEM 1445.527344 1623599063.4664
MEM 1445.527344 1623599063.5784
MEM 1445.527344 1623599063.6904
MEM 1445.527344 1623599063.8024
MEM 1445.527344 1623599063.9144
MEM 1445.527344 1623599064.0264
MEM 1445.527344 1623599064.1384
MEM 1445.527344 1623599064.2504
MEM 1445.527344 1623599064.3604
MEM 1446.054688 1623599064.4724
MEM 1446.054688 1623599064.5844
MEM 1446.054688 1623599064.6964
MEM 1446.343750 1623599064.8084
MEM 1446.343750 1623599064.9204
MEM 1446.343750 1623599065.0324
MEM 1446.343750 1623599065.1424
MEM 1446.343750 1623599065.2544
MEM 1446.343750 1623599065.3664
MEM 1446.343750 1623599065.4784
MEM 1446.343750 1623599065.5904
MEM 1446.343750 1623599065.7024
MEM 1446.343750 1623599065.8144
MEM 1446.343750 1623599065.9244
MEM 1446.343750 1623599066.0364
MEM 1446.343750 1623599066.1484
MEM 1446.343750 1623599066.2604
MEM 1446.343750 1623599066.3724
MEM 1446.343750 1623599066.4844
MEM 1446.343750 1623599066.5964
MEM 1446.343750 1623599066.7084
MEM 1446.343750 1623599066.8204
MEM 1446.343750 1623599066.9324
MEM 1446.343750 1623599067.0444
MEM 1446.343750 1623599067.1564
MEM 1446.343750 1623599067.2684
MEM 1446.343750 1623599067.3804
MEM 1446.343750 1623599067.4924
MEM 1446.343750 1623599067.6044
MEM 1446.343750 1623599067.7164
MEM 1446.343750 1623599067.8284
MEM 1446.343750 1623599067.9404
MEM 1446.343750 1623599068.0524
MEM 1446.972656 1623599068.1644
MEM 1446.972656 1623599068.2764
MEM 1446.972656 1623599068.3884
MEM 1446.972656 1623599068.5004
MEM 1446.972656 1623599068.6124
MEM 1446.972656 1623599068.7224
MEM 1446.972656 1623599068.8344
MEM 1446.972656 1623599068.9464
MEM 1446.972656 1623599069.0584
MEM 1446.972656 1623599069.1704
MEM 1446.972656 1623599069.2824
MEM 1446.972656 1623599069.3944
MEM 1446.972656 1623599069.5064
MEM 1446.972656 1623599069.6184
MEM 1446.972656 1623599069.7304
MEM 1446.972656 1623599069.8424
MEM 1446.972656 1623599069.9544
MEM 1446.972656 1623599070.0664
MEM 1446.972656 1623599070.1784
MEM 1446.972656 1623599070.2904
MEM 1446.972656 1623599070.4025
MEM 1446.972656 1623599070.5145
MEM 1446.972656 1623599070.6265
MEM 1446.972656 1623599070.7385
MEM 1446.972656 1623599070.8505
MEM 1446.972656 1623599070.9625
MEM 1446.972656 1623599071.0745
MEM 1446.972656 1623599071.1865
MEM 1446.972656 1623599071.2985
MEM 1446.972656 1623599071.4105
MEM 1446.972656 1623599071.5225
MEM 1446.972656 1623599071.6345
MEM 1272.988281 1623599071.7465
MEM 1158.988281 1623599071.8578
MEM 1158.988281 1623599071.9698
MEM 1158.988281 1623599072.0818
MEM 1158.988281 1623599072.1938
